DeliveryID,Distance (km),Package_Weight (kg),Weather_Conditions,Traffic_Level,Start_Time_Delivery,Delivery_Time (mins),Delivery_Difficulty,Distance_Category,Start_Hour,Peak_Hours,Combined_Condition,Efficiency
D017,19.8,5.5,Sunny,High,17:48,42,108.9,Long,17,1,Sunny + High,2.121212121212121
D018,11.0,6.1,Snowy,Low,15:18,37,67.1,Long,15,0,Snowy + Low,3.3636363636363638
D019,11.8,5.5,Cloudy,High,14:16,75,64.9,Long,14,0,Cloudy + High,6.3559322033898304
D020,19.2,7.5,Foggy,Low,16:59,18,144.0,Long,16,0,Foggy + Low,0.9375
D021,7.2,8.9,Foggy,Low,8:57,101,64.08,Medium,8,1,Foggy + Low,14.027777777777777
D022,13.8,4.6,Cloudy,Medium,16:18,107,63.48,Long,16,0,Cloudy + Medium,7.753623188405797
D023,18.3,3.9,Snowy,High,9:12,56,71.37,Long,9,1,Snowy + High,3.060109289617486
D024,3.0,4.5,Sunny,Low,13:17,18,13.5,Short,13,0,Sunny + Low,6.0
D025,6.5,1.6,Snowy,Low,15:38,13,10.4,Medium,15,0,Snowy + Low,2.0
D026,13.3,9.5,Cloudy,Medium,17:46,89,126.35000000000001,Long,17,1,Cloudy + Medium,6.69172932330827
D027,7.9,2.0,Rainy,Medium,6:04,116,15.8,Medium,6,0,Rainy + Medium,14.683544303797468
D028,5.6,6.3,Rainy,Medium,8:44,74,35.279999999999994,Medium,8,1,Rainy + Medium,13.214285714285715
D029,17.9,5.5,Foggy,High,15:04,42,98.44999999999999,Long,15,0,Foggy + High,2.346368715083799
D030,15.0,6.3,Snowy,Low,10:46,62,94.5,Long,10,0,Snowy + Low,4.133333333333334
D031,19.5,6.4,Rainy,Low,9:36,26,124.80000000000001,Long,9,1,Rainy + Low,1.3333333333333333
D032,18.1,3.1,Foggy,Low,6:05,79,56.11000000000001,Long,6,0,Foggy + Low,4.3646408839779
D033,10.7,1.2,Snowy,High,6:07,62,12.839999999999998,Long,6,0,Snowy + High,5.794392523364486
D034,18.8,2.3,Foggy,Medium,15:17,19,43.239999999999995,Long,15,0,Foggy + Medium,1.0106382978723405
D035,19.4,0.8,Cloudy,Medium,11:52,101,15.52,Long,11,0,Cloudy + Medium,5.206185567010309
D036,2.4,8.8,Sunny,Medium,6:51,44,21.12,Short,6,0,Sunny + Medium,18.333333333333336
D037,3.5,4.6,Sunny,High,15:07,86,16.099999999999998,Short,15,0,Sunny + High,24.571428571428573
D038,13.0,8.3,Foggy,High,6:29,93,107.9,Long,6,0,Foggy + High,7.153846153846154
D039,16.9,9.6,Rainy,Medium,16:13,120,162.23999999999998,Long,16,0,Rainy + Medium,7.100591715976332
D040,14.0,3.0,Rainy,Low,12:26,95,42.0,Long,12,0,Rainy + Low,6.785714285714286
D041,2.0,4.6,Cloudy,Low,16:01,11,9.2,Short,16,0,Cloudy + Low,5.5
D042,16.3,6.0,Snowy,High,15:41,100,97.80000000000001,Long,15,0,Snowy + High,6.134969325153374
D043,3.2,8.5,Sunny,Medium,11:25,78,27.200000000000003,Short,11,0,Sunny + Medium,24.375
D044,19.8,4.0,Snowy,Low,19:02,93,79.2,Long,19,1,Snowy + Low,4.696969696969697
D045,18.0,8.0,Rainy,Low,19:31,36,144.0,Long,19,1,Rainy + Low,2.0
D046,18.3,6.3,Foggy,Medium,14:37,114,115.29,Long,14,0,Foggy + Medium,6.229508196721311
D047,8.4,7.8,Foggy,Medium,7:53,115,65.52,Medium,7,1,Foggy + Medium,13.69047619047619
D048,19.0,4.5,Cloudy,Medium,8:00,84,85.5,Long,8,1,Cloudy + Medium,4.421052631578948
D049,13.0,1.0,Rainy,Medium,6:19,13,13.0,Long,6,0,Rainy + Medium,1.0
D050,17.6,1.8,Rainy,High,19:37,92,31.680000000000003,Long,19,1,Rainy + High,5.227272727272727
D051,15.6,7.0,Cloudy,High,19:15,64,109.2,Long,19,1,Cloudy + High,4.102564102564103
D052,18.1,1.8,Rainy,Medium,9:07,92,32.580000000000005,Long,9,1,Rainy + Medium,5.082872928176795
D053,8.6,7.4,Snowy,High,14:06,71,63.64,Medium,14,0,Snowy + High,8.255813953488373
D054,9.3,4.2,Snowy,High,13:06,62,39.06,Medium,13,0,Snowy + High,6.666666666666666
D055,9.9,7.9,Snowy,Low,10:10,93,78.21000000000001,Medium,10,0,Snowy + Low,9.393939393939394
D056,6.3,5.8,Foggy,Medium,11:11,77,36.54,Medium,11,0,Foggy + Medium,12.222222222222223
D057,14.5,8.1,Snowy,Medium,19:16,78,117.44999999999999,Long,19,1,Snowy + Medium,5.379310344827586
D058,17.7,2.5,Rainy,High,17:18,64,44.25,Long,17,1,Rainy + High,3.615819209039548
D059,6.6,1.5,Rainy,Medium,11:32,67,9.899999999999999,Medium,11,0,Rainy + Medium,10.151515151515152
D060,6.8,3.6,Cloudy,Low,8:19,110,24.48,Medium,8,1,Cloudy + Low,16.176470588235293
D061,4.3,2.6,Sunny,Low,15:04,59,11.18,Short,15,0,Sunny + Low,13.72093023255814
D062,10.0,6.5,Snowy,High,20:36,10,65.0,Medium,20,0,Snowy + High,1.0
D063,6.2,5.2,Sunny,High,14:05,12,32.24,Medium,14,0,Sunny + High,1.9354838709677418
D064,17.7,0.6,Foggy,High,8:38,96,10.62,Long,8,1,Foggy + High,5.423728813559323
D065,5.5,1.7,Snowy,Low,8:24,73,9.35,Medium,8,1,Snowy + Low,13.272727272727273
D066,6.9,3.5,Foggy,Low,11:54,70,24.150000000000002,Medium,11,0,Foggy + Low,10.144927536231883
D067,14.1,0.8,Cloudy,High,6:49,56,11.280000000000001,Long,6,0,Cloudy + High,3.971631205673759
D068,1.8,3.9,Snowy,Low,11:09,66,7.02,Short,11,0,Snowy + Low,36.666666666666664
D069,6.6,5.5,Foggy,High,17:19,91,36.3,Medium,17,1,Foggy + High,13.787878787878789
D070,19.5,7.0,Foggy,High,18:09,88,136.5,Long,18,1,Foggy + High,4.512820512820513
D071,19.3,6.6,Cloudy,Medium,13:08,101,127.38,Long,13,0,Cloudy + Medium,5.233160621761658
D072,3.9,8.7,Foggy,Low,16:35,46,33.93,Short,16,0,Foggy + Low,11.794871794871796
D073,7.3,1.0,Sunny,Low,10:04,58,7.3,Medium,10,0,Sunny + Low,7.945205479452055
D074,17.7,1.8,Snowy,Medium,6:29,91,31.86,Long,6,0,Snowy + Medium,5.141242937853107
D075,6.8,8.2,Foggy,Medium,11:36,65,55.75999999999999,Medium,11,0,Foggy + Medium,9.558823529411764
D076,4.5,8.0,Sunny,Medium,13:31,78,36.0,Short,13,0,Sunny + Medium,17.333333333333332
D077,18.7,6.1,Sunny,High,17:54,11,114.07,Long,17,1,Sunny + High,0.5882352941176471
D078,19.1,5.5,Foggy,Low,11:49,67,105.05000000000001,Long,11,0,Foggy + Low,3.507853403141361
D079,1.1,3.8,Snowy,High,14:37,14,4.18,Short,14,0,Snowy + High,12.727272727272727
D080,5.8,1.7,Cloudy,Low,18:03,116,9.86,Medium,18,1,Cloudy + Low,20.0
D081,7.8,5.5,Foggy,Low,11:27,76,42.9,Medium,11,0,Foggy + Low,9.743589743589745
D082,11.7,6.0,Foggy,High,15:49,59,70.19999999999999,Long,15,0,Foggy + High,5.0427350427350435
D083,15.1,8.4,Cloudy,Low,7:57,113,126.84,Long,7,1,Cloudy + Low,7.483443708609272
D084,8.1,7.0,Sunny,High,18:31,18,56.699999999999996,Medium,18,1,Sunny + High,2.2222222222222223
D085,12.0,6.7,Foggy,Low,16:51,89,80.4,Long,16,0,Foggy + Low,7.416666666666667
D086,4.9,8.6,Snowy,Low,13:10,11,42.14,Short,13,0,Snowy + Low,2.2448979591836733
D087,3.7,9.7,Snowy,Medium,9:29,22,35.89,Short,9,1,Snowy + Medium,5.945945945945946
D088,1.5,1.2,Foggy,Medium,13:13,102,1.7999999999999998,Short,13,0,Foggy + Medium,68.0
D089,7.8,0.8,Snowy,Medium,6:49,49,6.24,Medium,6,0,Snowy + Medium,6.282051282051282
D090,18.3,7.7,Rainy,Medium,8:11,26,140.91,Long,8,1,Rainy + Medium,1.4207650273224044
D091,11.2,3.5,Sunny,Low,12:16,101,39.199999999999996,Long,12,0,Sunny + Low,9.017857142857144
D092,12.9,4.4,Foggy,Medium,17:56,119,56.760000000000005,Long,17,1,Foggy + Medium,9.224806201550388
D093,8.4,3.9,Foggy,Medium,15:07,57,32.76,Medium,15,0,Foggy + Medium,6.785714285714286
D094,16.2,9.0,Sunny,Low,14:16,79,145.79999999999998,Long,14,0,Sunny + Low,4.8765432098765435
D095,14.4,7.8,Sunny,Low,7:42,72,112.32,Long,7,1,Sunny + Low,5.0
D096,18.4,7.2,Foggy,Medium,18:10,42,132.48,Long,18,1,Foggy + Medium,2.2826086956521743
D097,12.3,6.2,Foggy,Medium,6:00,45,76.26,Long,6,0,Foggy + Medium,3.6585365853658534
D098,8.6,3.3,Foggy,High,12:55,53,28.38,Medium,12,0,Foggy + High,6.162790697674419
D099,17.5,8.2,Cloudy,Medium,8:39,75,143.5,Long,8,1,Cloudy + Medium,4.285714285714286
D100,5.5,1.9,Snowy,High,7:09,31,10.45,Medium,7,1,Snowy + High,5.636363636363637
D101,15.4,5.7,Foggy,Low,18:43,75,87.78,Long,18,1,Foggy + Low,4.87012987012987
D102,10.8,2.4,Snowy,Low,10:22,98,25.92,Long,10,0,Snowy + Low,9.074074074074073
D103,18.5,6.6,Snowy,High,10:45,27,122.1,Long,10,0,Snowy + High,1.4594594594594594
D104,6.9,6.1,Rainy,Medium,18:14,15,42.089999999999996,Medium,18,1,Rainy + Medium,2.1739130434782608
D105,1.8,4.7,Sunny,Low,17:30,65,8.46,Short,17,1,Sunny + Low,36.11111111111111
D106,5.6,5.1,Sunny,Low,14:09,84,28.559999999999995,Medium,14,0,Sunny + Low,15.000000000000002
D107,19.2,7.0,Snowy,Low,11:15,22,134.4,Long,11,0,Snowy + Low,1.1458333333333335
D108,3.8,3.6,Sunny,Low,14:13,36,13.68,Short,14,0,Sunny + Low,9.473684210526317
D109,17.2,3.4,Snowy,Low,20:29,109,58.48,Long,20,0,Snowy + Low,6.337209302325582
D110,7.3,2.3,Sunny,Low,13:32,55,16.79,Medium,13,0,Sunny + Low,7.534246575342466
D111,4.9,4.2,Rainy,Medium,6:08,91,20.580000000000002,Short,6,0,Rainy + Medium,18.57142857142857
D112,17.3,1.9,Snowy,Medium,10:19,86,32.87,Long,10,0,Snowy + Medium,4.971098265895954
D113,16.6,1.3,Cloudy,Low,13:55,57,21.580000000000002,Long,13,0,Cloudy + Low,3.4337349397590358
D114,1.8,0.9,Cloudy,High,7:58,105,1.62,Short,7,1,Cloudy + High,58.33333333333333
D115,10.8,1.5,Snowy,High,9:31,44,16.200000000000003,Long,9,1,Snowy + High,4.0740740740740735
D116,7.7,0.9,Sunny,Medium,12:20,76,6.930000000000001,Medium,12,0,Sunny + Medium,9.87012987012987
D117,11.8,0.7,Cloudy,High,10:29,76,8.26,Long,10,0,Cloudy + High,6.440677966101695
D118,2.7,1.6,Sunny,Low,10:30,51,4.32,Short,10,0,Sunny + Low,18.88888888888889
D119,1.3,3.4,Foggy,Medium,18:30,49,4.42,Short,18,1,Foggy + Medium,37.69230769230769
D120,19.8,7.8,Snowy,Low,7:08,97,154.44,Long,7,1,Snowy + Low,4.898989898989899
D121,8.6,6.7,Rainy,High,15:43,36,57.62,Medium,15,0,Rainy + High,4.186046511627907
D122,13.7,5.4,Sunny,High,6:27,33,73.98,Long,6,0,Sunny + High,2.408759124087591
D123,16.0,3.5,Foggy,High,9:46,72,56.0,Long,9,1,Foggy + High,4.5
D124,15.6,2.4,Snowy,Medium,19:06,16,37.44,Long,19,1,Snowy + Medium,1.0256410256410258
D125,6.4,2.5,Sunny,Medium,20:49,93,16.0,Medium,20,0,Sunny + Medium,14.53125
D126,13.0,3.1,Foggy,High,6:47,91,40.300000000000004,Long,6,0,Foggy + High,7.0
D127,11.0,9.8,Foggy,High,11:33,100,107.80000000000001,Long,11,0,Foggy + High,9.090909090909092
D128,19.7,4.1,Snowy,Low,20:08,29,80.77,Long,20,0,Snowy + Low,1.4720812182741116
D129,4.3,0.7,Cloudy,Medium,18:20,64,3.01,Short,18,1,Cloudy + Medium,14.883720930232558
D130,1.3,1.0,Cloudy,High,14:06,114,1.3,Short,14,0,Cloudy + High,87.6923076923077
D131,12.3,2.5,Rainy,High,20:07,68,30.75,Long,20,0,Rainy + High,5.528455284552845
D132,2.3,8.3,Rainy,High,10:46,10,19.09,Short,10,0,Rainy + High,4.347826086956522
D133,17.4,3.9,Foggy,High,13:02,70,67.86,Long,13,0,Foggy + High,4.022988505747127
D134,19.8,1.4,Rainy,Low,16:44,88,27.72,Long,16,0,Rainy + Low,4.444444444444445
D135,7.8,0.5,Rainy,Medium,13:32,63,3.9,Medium,13,0,Rainy + Medium,8.076923076923077
D136,10.8,9.3,Rainy,Low,17:36,61,100.44000000000001,Long,17,1,Rainy + Low,5.648148148148148
D137,2.3,6.2,Sunny,High,9:07,93,14.26,Short,9,1,Sunny + High,40.434782608695656
D138,5.2,4.7,Cloudy,High,19:06,70,24.44,Medium,19,1,Cloudy + High,13.461538461538462
D139,10.2,2.3,Rainy,High,14:42,85,23.459999999999997,Long,14,0,Rainy + High,8.333333333333334
D140,15.9,8.7,Foggy,High,14:09,111,138.32999999999998,Long,14,0,Foggy + High,6.981132075471698
D141,17.6,4.2,Cloudy,High,7:38,15,73.92000000000002,Long,7,1,Cloudy + High,0.8522727272727272
D142,6.2,8.2,Sunny,High,15:18,72,50.839999999999996,Medium,15,0,Sunny + High,11.612903225806452
D143,2.3,9.3,Foggy,Low,10:52,55,21.39,Short,10,0,Foggy + Low,23.91304347826087
D144,12.2,2.1,Rainy,Low,14:00,64,25.62,Long,14,0,Rainy + Low,5.245901639344263
D145,13.8,4.1,Snowy,Medium,20:38,50,56.58,Long,20,0,Snowy + Medium,3.623188405797101
D146,19.8,1.2,Foggy,Medium,8:45,73,23.76,Long,8,1,Foggy + Medium,3.686868686868687
D147,7.1,2.8,Snowy,High,7:43,33,19.88,Medium,7,1,Snowy + High,4.647887323943662
D148,2.3,7.9,Snowy,Medium,10:21,79,18.169999999999998,Short,10,0,Snowy + Medium,34.34782608695652
D149,13.4,5.4,Foggy,Medium,17:45,62,72.36000000000001,Long,17,1,Foggy + Medium,4.626865671641791
D150,15.9,0.5,Snowy,Medium,8:38,98,7.95,Long,8,1,Snowy + Medium,6.163522012578616
D151,9.3,7.4,Cloudy,Low,13:47,19,68.82000000000001,Medium,13,0,Cloudy + Low,2.043010752688172
D152,18.1,5.8,Sunny,Low,6:06,91,104.98,Long,6,0,Sunny + Low,5.027624309392265
D153,18.4,9.5,Rainy,Low,16:03,90,174.79999999999998,Long,16,0,Rainy + Low,4.891304347826087
D154,4.4,9.8,Rainy,Medium,7:22,38,43.120000000000005,Short,7,1,Rainy + Medium,8.636363636363635
D155,13.8,4.8,Foggy,Medium,20:00,81,66.24,Long,20,0,Foggy + Medium,5.869565217391304
D156,5.2,0.8,Rainy,Medium,6:34,72,4.16,Medium,6,0,Rainy + Medium,13.846153846153845
D157,19.0,1.6,Rainy,Low,14:14,31,30.400000000000002,Long,14,0,Rainy + Low,1.631578947368421
D158,1.5,4.1,Rainy,High,14:45,31,6.1499999999999995,Short,14,0,Rainy + High,20.666666666666668
D159,19.8,3.6,Foggy,Medium,14:24,71,71.28,Long,14,0,Foggy + Medium,3.5858585858585856
D160,9.2,6.7,Cloudy,Low,15:37,36,61.63999999999999,Medium,15,0,Cloudy + Low,3.91304347826087
D161,8.5,2.5,Rainy,High,17:00,94,21.25,Medium,17,1,Rainy + High,11.058823529411764
D162,19.8,2.3,Foggy,Low,8:26,97,45.54,Long,8,1,Foggy + Low,4.898989898989899
D163,8.4,7.5,Foggy,High,17:58,49,63.0,Medium,17,1,Foggy + High,5.833333333333333
D164,10.9,5.5,Cloudy,Low,7:17,37,59.95,Long,7,1,Cloudy + Low,3.3944954128440368
D165,8.5,1.4,Rainy,High,19:44,93,11.899999999999999,Medium,19,1,Rainy + High,10.941176470588236
D166,5.9,3.1,Snowy,Medium,19:01,95,18.290000000000003,Medium,19,1,Snowy + Medium,16.101694915254235
D167,4.8,0.7,Foggy,Medium,12:36,106,3.36,Short,12,0,Foggy + Medium,22.083333333333336
D168,9.0,0.8,Snowy,Low,20:59,57,7.2,Medium,20,0,Snowy + Low,6.333333333333333
D169,15.8,9.8,Snowy,Low,15:02,15,154.84000000000003,Long,15,0,Snowy + Low,0.9493670886075949
D170,8.9,9.6,Rainy,Low,15:38,49,85.44,Medium,15,0,Rainy + Low,5.50561797752809
D171,9.4,1.7,Sunny,High,6:17,44,15.98,Medium,6,0,Sunny + High,4.680851063829787
D172,9.1,4.7,Snowy,Low,9:30,14,42.77,Medium,9,1,Snowy + Low,1.5384615384615385
D173,16.3,2.8,Cloudy,Medium,7:40,81,45.64,Long,7,1,Cloudy + Medium,4.969325153374233
D174,6.3,9.2,Sunny,High,18:56,12,57.959999999999994,Medium,18,1,Sunny + High,1.9047619047619049
D175,14.1,6.0,Snowy,High,17:00,111,84.6,Long,17,1,Snowy + High,7.872340425531915
D176,1.3,3.3,Sunny,Medium,11:30,69,4.29,Short,11,0,Sunny + Medium,53.07692307692307
D177,7.6,1.7,Rainy,Medium,15:05,79,12.92,Medium,15,0,Rainy + Medium,10.394736842105264
D178,4.5,5.8,Rainy,Low,12:57,112,26.099999999999998,Short,12,0,Rainy + Low,24.88888888888889
D179,1.6,2.4,Sunny,High,14:06,76,3.84,Short,14,0,Sunny + High,47.5
D180,8.7,4.7,Rainy,High,17:08,13,40.89,Medium,17,1,Rainy + High,1.4942528735632186
D181,10.6,2.9,Cloudy,Low,20:28,29,30.74,Long,20,0,Cloudy + Low,2.7358490566037736
D182,2.9,3.6,Rainy,High,19:43,13,10.44,Short,19,1,Rainy + High,4.482758620689656
D183,17.4,5.3,Cloudy,High,8:33,70,92.21999999999998,Long,8,1,Cloudy + High,4.022988505747127
D184,11.3,7.8,Snowy,High,14:15,55,88.14,Long,14,0,Snowy + High,4.867256637168142
D185,10.1,1.4,Cloudy,Medium,19:23,120,14.139999999999999,Long,19,1,Cloudy + Medium,11.881188118811881
D186,16.2,2.2,Snowy,Medium,13:17,93,35.64,Long,13,0,Snowy + Medium,5.740740740740741
D187,17.2,9.4,Rainy,Low,14:49,116,161.68,Long,14,0,Rainy + Low,6.744186046511628
D188,1.4,5.8,Sunny,Medium,13:34,97,8.12,Short,13,0,Sunny + Medium,69.28571428571429
D189,17.8,4.7,Snowy,Low,10:38,119,83.66000000000001,Long,10,0,Snowy + Low,6.685393258426966
D190,7.6,1.3,Foggy,High,18:22,27,9.879999999999999,Medium,18,1,Foggy + High,3.5526315789473686
D191,9.6,7.3,Sunny,High,6:02,32,70.08,Medium,6,0,Sunny + High,3.3333333333333335
D192,9.3,5.6,Snowy,Medium,9:12,36,52.08,Medium,9,1,Snowy + Medium,3.8709677419354835
D193,12.9,8.8,Cloudy,High,7:56,13,113.52000000000001,Long,7,1,Cloudy + High,1.0077519379844961
D194,17.2,5.9,Foggy,High,18:59,22,101.48,Long,18,1,Foggy + High,1.2790697674418605
D195,7.7,3.1,Rainy,Low,18:46,106,23.87,Medium,18,1,Rainy + Low,13.766233766233766
D196,17.7,5.7,Cloudy,Medium,13:04,86,100.89,Long,13,0,Cloudy + Medium,4.858757062146893
D197,13.2,6.3,Sunny,Medium,12:37,95,83.16,Long,12,0,Sunny + Medium,7.196969696969697
D198,4.1,5.2,Rainy,High,14:35,20,21.32,Short,14,0,Rainy + High,4.878048780487806
D199,8.8,6.4,Rainy,Medium,16:42,89,56.32000000000001,Medium,16,0,Rainy + Medium,10.113636363636363
D200,10.4,6.3,Cloudy,High,9:27,111,65.52,Long,9,1,Cloudy + High,10.673076923076923
D201,14.6,8.3,Foggy,Medium,17:08,62,121.18,Long,17,1,Foggy + Medium,4.2465753424657535
D202,15.4,8.4,Cloudy,High,7:14,15,129.36,Long,7,1,Cloudy + High,0.974025974025974
D203,8.3,6.9,Rainy,Medium,18:03,120,57.27000000000001,Medium,18,1,Rainy + Medium,14.457831325301203
D204,4.6,8.2,Sunny,Medium,12:52,64,37.71999999999999,Short,12,0,Sunny + Medium,13.913043478260871
D205,12.7,7.4,Foggy,Low,6:33,109,93.98,Long,6,0,Foggy + Low,8.582677165354331
D206,2.9,5.1,Sunny,High,6:11,113,14.79,Short,6,0,Sunny + High,38.96551724137931
D207,20.0,4.7,Foggy,High,6:08,35,94.0,Long,6,0,Foggy + High,1.75
D208,1.5,5.6,Cloudy,Medium,20:31,60,8.399999999999999,Short,20,0,Cloudy + Medium,40.0
D209,12.6,7.2,Rainy,Low,17:25,35,90.72,Long,17,1,Rainy + Low,2.7777777777777777
D210,2.5,9.7,Sunny,High,20:13,51,24.25,Short,20,0,Sunny + High,20.4
D211,12.0,9.6,Sunny,Low,16:09,37,115.19999999999999,Long,16,0,Sunny + Low,3.0833333333333335
D212,14.6,1.4,Cloudy,High,15:01,107,20.439999999999998,Long,15,0,Cloudy + High,7.328767123287672
D213,1.6,8.0,Sunny,High,13:06,53,12.8,Short,13,0,Sunny + High,33.125
D214,3.0,4.9,Foggy,Low,18:19,81,14.700000000000001,Short,18,1,Foggy + Low,27.0
D215,9.4,4.2,Rainy,High,11:53,31,39.480000000000004,Medium,11,0,Rainy + High,3.2978723404255317
D216,7.3,5.3,Cloudy,Medium,13:53,86,38.69,Medium,13,0,Cloudy + Medium,11.78082191780822
D217,5.0,7.4,Rainy,Low,16:26,35,37.0,Short,16,0,Rainy + Low,7.0
D218,2.9,6.7,Rainy,High,18:20,45,19.43,Short,18,1,Rainy + High,15.517241379310345
D219,13.4,7.3,Rainy,Low,12:22,105,97.82,Long,12,0,Rainy + Low,7.835820895522388
D220,1.5,6.3,Snowy,High,8:41,84,9.45,Short,8,1,Snowy + High,56.0
D221,14.4,1.2,Cloudy,Low,6:33,77,17.28,Long,6,0,Cloudy + Low,5.347222222222222
D222,12.2,2.9,Foggy,Medium,10:01,106,35.379999999999995,Long,10,0,Foggy + Medium,8.688524590163935
D223,8.0,8.5,Snowy,High,15:30,55,68.0,Medium,15,0,Snowy + High,6.875
D224,15.1,6.9,Cloudy,Low,18:37,16,104.19,Long,18,1,Cloudy + Low,1.0596026490066226
D225,11.3,3.1,Cloudy,Medium,15:04,37,35.03,Long,15,0,Cloudy + Medium,3.2743362831858405
D226,9.1,4.4,Rainy,Low,11:56,119,40.04,Medium,11,0,Rainy + Low,13.076923076923077
D227,7.9,1.9,Foggy,High,8:08,12,15.01,Medium,8,1,Foggy + High,1.5189873417721518
D228,3.1,7.9,Cloudy,High,11:59,10,24.490000000000002,Short,11,0,Cloudy + High,3.225806451612903
D229,13.2,5.6,Sunny,Low,16:59,19,73.91999999999999,Long,16,0,Sunny + Low,1.4393939393939394
D230,14.2,9.9,Sunny,Low,9:29,113,140.57999999999998,Long,9,1,Sunny + Low,7.95774647887324
D231,17.3,5.0,Cloudy,Medium,15:33,69,86.5,Long,15,0,Cloudy + Medium,3.9884393063583814
D232,8.7,1.6,Cloudy,Medium,15:07,10,13.92,Medium,15,0,Cloudy + Medium,1.149425287356322
D233,7.7,2.8,Rainy,Medium,16:30,54,21.56,Medium,16,0,Rainy + Medium,7.012987012987013
D234,14.3,1.8,Cloudy,Low,11:33,64,25.740000000000002,Long,11,0,Cloudy + Low,4.475524475524475
D235,16.2,10.0,Snowy,High,16:19,103,162.0,Long,16,0,Snowy + High,6.358024691358025
D236,1.4,8.9,Snowy,Medium,18:56,92,12.459999999999999,Short,18,1,Snowy + Medium,65.71428571428572
D237,1.2,5.5,Cloudy,Medium,6:37,103,6.6,Short,6,0,Cloudy + Medium,85.83333333333334
D238,16.1,3.5,Rainy,High,9:50,45,56.35000000000001,Long,9,1,Rainy + High,2.795031055900621
D239,12.8,1.7,Foggy,High,12:06,86,21.76,Long,12,0,Foggy + High,6.71875
D240,19.3,7.2,Rainy,Medium,9:58,11,138.96,Long,9,1,Rainy + Medium,0.5699481865284974
D241,6.7,7.8,Cloudy,Low,9:37,16,52.26,Medium,9,1,Cloudy + Low,2.388059701492537
D242,5.3,9.8,Rainy,Medium,14:29,22,51.940000000000005,Medium,14,0,Rainy + Medium,4.150943396226415
D243,14.4,5.8,Sunny,Medium,13:09,71,83.52,Long,13,0,Sunny + Medium,4.930555555555555
D244,2.8,5.2,Cloudy,High,17:37,54,14.559999999999999,Short,17,1,Cloudy + High,19.28571428571429
D245,14.9,7.1,Snowy,Medium,10:44,83,105.78999999999999,Long,10,0,Snowy + Medium,5.570469798657718
D246,17.0,6.7,Cloudy,Low,19:10,118,113.9,Long,19,1,Cloudy + Low,6.9411764705882355
D247,15.8,7.5,Rainy,Medium,19:16,73,118.5,Long,19,1,Rainy + Medium,4.620253164556962
D248,2.5,1.2,Foggy,Medium,6:31,61,3.0,Short,6,0,Foggy + Medium,24.4
D249,3.6,7.6,Rainy,High,11:47,44,27.36,Short,11,0,Rainy + High,12.222222222222221
D250,16.7,8.3,Cloudy,High,12:22,31,138.61,Long,12,0,Cloudy + High,1.8562874251497006
D251,14.0,2.0,Sunny,Low,14:13,19,28.0,Long,14,0,Sunny + Low,1.3571428571428572
D252,4.7,4.1,Snowy,High,16:22,27,19.27,Short,16,0,Snowy + High,5.74468085106383
D253,17.8,6.7,Snowy,Medium,10:31,109,119.26,Long,10,0,Snowy + Medium,6.123595505617978
D254,4.8,6.5,Cloudy,Low,6:14,83,31.2,Short,6,0,Cloudy + Low,17.291666666666668
D255,2.5,8.1,Sunny,Medium,15:04,59,20.25,Short,15,0,Sunny + Medium,23.6
D256,12.8,5.8,Rainy,High,16:15,40,74.24,Long,16,0,Rainy + High,3.125
