delivery_id,timestamp,origin_lat,origin_lon,origin_city,dest_lat,dest_lon,dest_city,distance,traffic_index,temperature,precipitation,wind_speed,weather_condition,vehicle_type,vehicle_capacity_weight,special_handling,num_stops,day_of_week,time_of_day,actual_delivery_time
DEL000011,10/14/2023 11:00,40.7128,-74.006,New York,29.7604,-95.3698,Houston,2281.34,0.27,14.2,0.03,0.8,clear,Medium Truck,3000,FALSE,2,5,11,3233.43
DEL000012,8/14/2023 15:00,34.0522,-118.2437,Los Angeles,39.9526,-75.1652,Philadelphia,3843.45,0.22,26.5,0.09,14.2,clear,Sprinter,1500,FALSE,4,0,15,6294.82
DEL000013,8/23/2023 9:00,34.0522,-118.2437,Los Angeles,41.8781,-87.6298,Chicago,2803.97,0.4,28.4,0.04,28.3,clear,Sprinter,1500,FALSE,2,2,9,4995.05
DEL000014,9/23/2023 6:00,41.8781,-87.6298,Chicago,40.7128,-74.006,New York,1144.29,0.46,10.1,0.02,0.4,clear,Medium Truck,3000,FALSE,3,5,6,2206.36
DEL000015,4/11/2023 10:00,40.7128,-74.006,New York,41.8781,-87.6298,Chicago,1144.29,0.44,19,0.08,24.9,clear,Medium Truck,3000,FALSE,4,1,10,2190.27
DEL000016,4/26/2023 10:00,40.7128,-74.006,New York,39.9526,-75.1652,Philadelphia,129.61,0.4,11,0.22,21.2,cloudy,Sprinter,1500,FALSE,5,2,10,389.57
DEL000017,1/2/2023 6:00,41.8781,-87.6298,Chicago,29.7604,-95.3698,Houston,1515.81,0.32,5.7,0.78,1.8,rain,Sprinter,1500,FALSE,4,0,6,3377.12
DEL000018,10/9/2023 12:00,41.8781,-87.6298,Chicago,39.9526,-75.1652,Philadelphia,1068,0.41,10.7,0.22,27,cloudy,Medium Truck,3000,FALSE,4,0,12,2002.47
DEL000019,3/17/2023 10:00,29.7604,-95.3698,Houston,34.0522,-118.2437,Los Angeles,2206.26,0.31,17.6,1.4,28.2,rain,Medium Truck,3000,FALSE,1,4,10,4129.71
DEL000020,1/14/2023 18:00,41.8781,-87.6298,Chicago,34.0522,-118.2437,Los Angeles,2803.97,0.55,0.3,0.04,17.3,clear,Medium Truck,3000,FALSE,5,5,18,5317.69
DEL000021,7/4/2023 18:00,39.9526,-75.1652,Philadelphia,29.7604,-95.3698,Houston,2156.27,1.09,27.5,1.28,11,snow,Large Truck,5000,FALSE,3,1,18,9934.6
DEL000022,7/16/2023 14:00,34.0522,-118.2437,Los Angeles,40.7128,-74.006,New York,3935.75,0.54,22.6,0.02,21.4,cloudy,Small Van,1000,FALSE,0,6,14,8116.57
DEL000023,5/10/2023 19:00,29.7604,-95.3698,Houston,40.7128,-74.006,New York,2281.34,0.71,16.6,0.02,3.6,clear,Large Truck,5000,FALSE,3,2,19,4755.51
DEL000024,7/6/2023 16:00,41.8781,-87.6298,Chicago,34.0522,-118.2437,Los Angeles,2803.97,0.92,21.5,0.08,14.9,clear,Small Van,1000,FALSE,1,3,16,6278.39
DEL000025,10/15/2023 9:00,40.7128,-74.006,New York,29.7604,-95.3698,Houston,2281.34,0.67,8.9,0.03,17.5,clear,Small Van,1000,FALSE,2,6,9,4399.35
DEL000026,12/22/2023 19:00,39.9526,-75.1652,Philadelphia,40.7128,-74.006,New York,129.61,0.61,7.2,0.01,15.3,clear,Large Truck,5000,FALSE,2,4,19,259.53
DEL000027,8/14/2023 12:00,39.9526,-75.1652,Philadelphia,34.0522,-118.2437,Los Angeles,3843.45,0.59,23.6,0.97,8.5,snow,Medium Truck,3000,FALSE,4,0,12,13612.46
DEL000028,8/13/2023 8:00,34.0522,-118.2437,Los Angeles,29.7604,-95.3698,Houston,2206.26,1.09,23.4,0.05,19.5,clear,Medium Truck,3000,FALSE,3,6,8,5566.96
DEL000029,10/4/2023 16:00,41.8781,-87.6298,Chicago,39.9526,-75.1652,Philadelphia,1068,0.46,14.2,0.08,1.1,clear,Medium Truck,3000,TRUE,3,2,16,1773.03
DEL000030,2/25/2023 9:00,34.0522,-118.2437,Los Angeles,39.9526,-75.1652,Philadelphia,3843.45,0.96,5.8,0.01,7.5,clear,Large Truck,5000,FALSE,0,5,9,8345.69
DEL000031,5/19/2023 9:00,40.7128,-74.006,New York,39.9526,-75.1652,Philadelphia,129.61,0.4,10.3,0.91,21.8,snow,Large Truck,5000,FALSE,2,4,9,392.72
DEL000032,4/4/2023 9:00,40.7128,-74.006,New York,39.9526,-75.1652,Philadelphia,129.61,0.3,19.5,0.08,16.6,clear,Sprinter,1500,FALSE,2,1,9,275.81
DEL000033,11/5/2023 19:00,41.8781,-87.6298,Chicago,40.7128,-74.006,New York,1144.29,0.46,7.4,0.05,26.3,clear,Large Truck,5000,FALSE,4,6,19,2294.62
DEL000034,10/28/2023 7:00,29.7604,-95.3698,Houston,41.8781,-87.6298,Chicago,1515.81,0.47,5,0.17,22.9,cloudy,Medium Truck,3000,FALSE,5,5,7,2831.15
DEL000035,6/28/2023 6:00,40.7128,-74.006,New York,34.0522,-118.2437,Los Angeles,3935.75,0.28,26.8,1.11,7.3,rain,Sprinter,1500,FALSE,5,2,6,7492.73
DEL000036,10/9/2023 20:00,39.9526,-75.1652,Philadelphia,29.7604,-95.3698,Houston,2156.27,0.65,14.9,0.06,14.9,clear,Medium Truck,3000,FALSE,2,0,20,4108.55
DEL000037,2/23/2023 8:00,39.9526,-75.1652,Philadelphia,29.7604,-95.3698,Houston,2156.27,1.15,5.4,0,18.4,cloudy,Large Truck,5000,FALSE,2,3,8,5945.47
DEL000038,8/15/2023 8:00,41.8781,-87.6298,Chicago,34.0522,-118.2437,Los Angeles,2803.97,0.32,22.6,1,14.8,rain,Sprinter,1500,FALSE,5,1,8,5482.57
DEL000039,10/15/2023 19:00,29.7604,-95.3698,Houston,40.7128,-74.006,New York,2281.34,0.53,5.8,0.08,5.2,clear,Small Van,1000,FALSE,4,6,19,3937.26
DEL000040,11/9/2023 18:00,34.0522,-118.2437,Los Angeles,39.9526,-75.1652,Philadelphia,3843.45,0.51,10.6,1.34,13.9,snow,Medium Truck,3000,FALSE,5,3,18,12220.33
DEL000041,4/20/2023 14:00,39.9526,-75.1652,Philadelphia,29.7604,-95.3698,Houston,2156.27,0.78,18.3,0.02,10.3,clear,Sprinter,1500,FALSE,4,3,14,4967.93
DEL000042,4/17/2023 19:00,40.7128,-74.006,New York,29.7604,-95.3698,Houston,2281.34,0.61,12.3,0.07,28.8,clear,Small Van,1000,FALSE,5,0,19,4919.7
DEL000043,1/17/2023 9:00,29.7604,-95.3698,Houston,34.0522,-118.2437,Los Angeles,2206.26,1.02,4.4,0.08,28.5,clear,Sprinter,1500,FALSE,1,1,9,5759.8
DEL000044,2/28/2023 16:00,40.7128,-74.006,New York,34.0522,-118.2437,Los Angeles,3935.75,0.68,9.3,0.07,9.6,clear,Small Van,1000,FALSE,2,1,16,8749.25
DEL000045,9/23/2023 9:00,40.7128,-74.006,New York,29.7604,-95.3698,Houston,2281.34,1.12,13,0.14,24.3,cloudy,Large Truck,5000,FALSE,5,5,9,6033.87
DEL000046,10/16/2023 10:00,39.9526,-75.1652,Philadelphia,40.7128,-74.006,New York,129.61,0.73,8.6,0.01,2.6,clear,Large Truck,5000,FALSE,3,0,10,395.19
DEL000047,12/29/2023 6:00,39.9526,-75.1652,Philadelphia,34.0522,-118.2437,Los Angeles,3843.45,0.24,7.5,0.15,13.8,cloudy,Medium Truck,3000,FALSE,4,4,6,6543.76
DEL000048,3/28/2023 6:00,40.7128,-74.006,New York,39.9526,-75.1652,Philadelphia,129.61,0.71,15.1,0.05,16.5,cloudy,Large Truck,5000,FALSE,3,1,6,383.78
DEL000049,10/27/2023 9:00,29.7604,-95.3698,Houston,41.8781,-87.6298,Chicago,1515.81,0.62,8.1,1.16,16.2,rain,Large Truck,5000,FALSE,1,4,9,3868.31
DEL000050,10/20/2023 7:00,39.9526,-75.1652,Philadelphia,40.7128,-74.006,New York,129.61,1.14,8.7,0.01,11.8,clear,Medium Truck,3000,FALSE,4,4,7,411.88
DEL000051,6/28/2023 6:00,40.7128,-74.006,New York,41.8781,-87.6298,Chicago,1144.29,0.23,21.5,0.06,28.4,clear,Small Van,1000,FALSE,1,2,6,1845.77
DEL000052,6/17/2023 7:00,39.9526,-75.1652,Philadelphia,34.0522,-118.2437,Los Angeles,3843.45,0.41,24.2,0,27.8,clear,Large Truck,5000,FALSE,3,5,7,6190.07
DEL000053,7/5/2023 13:00,39.9526,-75.1652,Philadelphia,29.7604,-95.3698,Houston,2156.27,0.66,21.9,0.88,4.7,snow,Large Truck,5000,FALSE,3,2,13,7948.5
DEL000054,10/19/2023 15:00,41.8781,-87.6298,Chicago,34.0522,-118.2437,Los Angeles,2803.97,0.47,14.1,1.16,22.9,rain,Large Truck,5000,FALSE,4,3,15,6568.42
DEL000055,5/27/2023 7:00,34.0522,-118.2437,Los Angeles,39.9526,-75.1652,Philadelphia,3843.45,1.01,14,0.01,8,clear,Large Truck,5000,TRUE,5,5,7,9287.96
DEL000056,10/12/2023 16:00,39.9526,-75.1652,Philadelphia,41.8781,-87.6298,Chicago,1068,0.53,14.8,1.53,2.5,rain,Sprinter,1500,FALSE,4,3,16,2804.76
DEL000057,7/16/2023 8:00,39.9526,-75.1652,Philadelphia,40.7128,-74.006,New York,129.61,0.87,28,0.09,4.9,clear,Sprinter,1500,FALSE,2,6,8,352.68
DEL000058,3/7/2023 12:00,39.9526,-75.1652,Philadelphia,40.7128,-74.006,New York,129.61,0.46,17.5,0,4,clear,Sprinter,1500,FALSE,1,1,12,228.63
DEL000059,4/16/2023 9:00,40.7128,-74.006,New York,41.8781,-87.6298,Chicago,1144.29,0.46,16.5,0.04,6.6,clear,Small Van,1000,FALSE,2,6,9,2094.79
DEL000060,7/9/2023 6:00,41.8781,-87.6298,Chicago,40.7128,-74.006,New York,1144.29,0.61,22.9,0.13,7.3,cloudy,Medium Truck,3000,FALSE,5,6,6,2321.7
DEL000061,1/17/2023 9:00,40.7128,-74.006,New York,41.8781,-87.6298,Chicago,1144.29,0.98,4.5,0.84,7,rain,Large Truck,5000,FALSE,2,1,9,3654.9
DEL000062,11/1/2023 10:00,39.9526,-75.1652,Philadelphia,41.8781,-87.6298,Chicago,1068,0.44,8.4,0.24,27.7,cloudy,Medium Truck,3000,FALSE,3,2,10,2218.4
DEL000063,9/11/2023 8:00,39.9526,-75.1652,Philadelphia,29.7604,-95.3698,Houston,2156.27,0.7,7.1,0.04,7.1,clear,Large Truck,5000,TRUE,2,0,8,4221.78
DEL000064,7/13/2023 13:00,41.8781,-87.6298,Chicago,34.0522,-118.2437,Los Angeles,2803.97,0.41,20.1,0.27,1.5,cloudy,Medium Truck,3000,FALSE,5,3,13,5637.26
DEL000065,8/19/2023 13:00,40.7128,-74.006,New York,29.7604,-95.3698,Houston,2281.34,0.45,20.8,0.02,29.5,clear,Medium Truck,3000,FALSE,0,5,13,3931.83
DEL000066,11/11/2023 9:00,29.7604,-95.3698,Houston,41.8781,-87.6298,Chicago,1515.81,0.41,10.7,0.04,25.3,clear,Large Truck,5000,FALSE,4,5,9,2707.92
DEL000067,8/20/2023 13:00,40.7128,-74.006,New York,29.7604,-95.3698,Houston,2281.34,0.68,28.5,0.05,1.4,clear,Medium Truck,3000,FALSE,5,6,13,5037.9
DEL000068,9/10/2023 12:00,39.9526,-75.1652,Philadelphia,29.7604,-95.3698,Houston,2156.27,0.63,9.3,0.09,12.5,clear,Small Van,1000,FALSE,4,6,12,4127.33
DEL000069,1/19/2023 8:00,39.9526,-75.1652,Philadelphia,29.7604,-95.3698,Houston,2156.27,0.8,5.2,0.01,7.6,clear,Large Truck,5000,FALSE,1,3,8,4484.5
DEL000070,7/7/2023 17:00,29.7604,-95.3698,Houston,41.8781,-87.6298,Chicago,1515.81,0.78,23.2,0.01,23,clear,Large Truck,5000,FALSE,1,4,17,3239.43
DEL000071,12/10/2023 10:00,29.7604,-95.3698,Houston,34.0522,-118.2437,Los Angeles,2206.26,0.52,6.4,0.09,6.9,cloudy,Sprinter,1500,FALSE,5,6,10,4400.8
DEL000072,9/15/2023 10:00,40.7128,-74.006,New York,34.0522,-118.2437,Los Angeles,3935.75,0.33,14.5,1.89,14.1,rain,Medium Truck,3000,FALSE,0,4,10,7967.45
DEL000073,8/2/2023 9:00,41.8781,-87.6298,Chicago,29.7604,-95.3698,Houston,1515.81,0.94,24.1,0.01,2,clear,Large Truck,5000,FALSE,1,2,9,3790.46
DEL000074,8/20/2023 15:00,29.7604,-95.3698,Houston,41.8781,-87.6298,Chicago,1515.81,0.27,22.9,0.1,11.9,clear,Large Truck,5000,FALSE,1,6,15,2520.11
DEL000075,5/10/2023 13:00,39.9526,-75.1652,Philadelphia,40.7128,-74.006,New York,129.61,0.64,16.2,0.1,8.1,clear,Small Van,1000,TRUE,5,2,13,424.38
DEL000076,5/14/2023 17:00,34.0522,-118.2437,Los Angeles,39.9526,-75.1652,Philadelphia,3843.45,0.44,17.1,1.79,8.7,rain,Medium Truck,3000,FALSE,1,6,17,8266.87
DEL000077,10/1/2023 6:00,41.8781,-87.6298,Chicago,39.9526,-75.1652,Philadelphia,1068,0.32,7.1,0.07,9.5,cloudy,Large Truck,5000,FALSE,3,6,6,2008.98
DEL000078,5/31/2023 16:00,34.0522,-118.2437,Los Angeles,29.7604,-95.3698,Houston,2206.26,0.75,15.7,0.1,23.3,clear,Medium Truck,3000,FALSE,4,2,16,4899.44
DEL000079,7/19/2023 13:00,29.7604,-95.3698,Houston,40.7128,-74.006,New York,2281.34,0.38,27.2,0.09,21.8,clear,Large Truck,5000,FALSE,2,2,13,3904.72
DEL000080,2/2/2023 18:00,40.7128,-74.006,New York,34.0522,-118.2437,Los Angeles,3935.75,0.68,4.1,0.01,4.5,clear,Large Truck,5000,FALSE,4,3,18,8676.45
DEL000081,10/5/2023 16:00,41.8781,-87.6298,Chicago,29.7604,-95.3698,Houston,1515.81,0.32,6.6,0.1,10.3,clear,Medium Truck,3000,FALSE,5,3,16,2738.86
DEL000082,5/24/2023 8:00,39.9526,-75.1652,Philadelphia,40.7128,-74.006,New York,129.61,0.53,15.6,1.67,27.5,rain,Large Truck,5000,FALSE,5,2,8,447.95
DEL000083,11/14/2023 20:00,41.8781,-87.6298,Chicago,40.7128,-74.006,New York,1144.29,0.46,14.1,0.03,23,cloudy,Medium Truck,3000,FALSE,3,1,20,2359.11
DEL000084,11/28/2023 12:00,39.9526,-75.1652,Philadelphia,40.7128,-74.006,New York,129.61,0.33,5.4,0.06,7.7,clear,Sprinter,1500,TRUE,1,1,12,242.75
DEL000085,11/10/2023 15:00,29.7604,-95.3698,Houston,41.8781,-87.6298,Chicago,1515.81,0.47,8,1.54,19.1,rain,Small Van,1000,FALSE,3,4,15,3361.64
DEL000086,2/24/2023 17:00,29.7604,-95.3698,Houston,39.9526,-75.1652,Philadelphia,2156.27,0.78,3.9,0.04,20.2,clear,Large Truck,5000,FALSE,5,4,17,4407.51
DEL000087,7/9/2023 9:00,41.8781,-87.6298,Chicago,39.9526,-75.1652,Philadelphia,1068,0.42,27.5,0.09,14.1,clear,Large Truck,5000,FALSE,3,6,9,1754.82
DEL000088,3/11/2023 8:00,29.7604,-95.3698,Houston,34.0522,-118.2437,Los Angeles,2206.26,0.57,11.7,0.08,14.8,clear,Large Truck,5000,FALSE,2,5,8,4546.53
DEL000089,8/13/2023 18:00,40.7128,-74.006,New York,29.7604,-95.3698,Houston,2281.34,0.31,25.9,0.09,0.4,clear,Sprinter,1500,TRUE,4,6,18,3331.22
DEL000090,10/18/2023 18:00,34.0522,-118.2437,Los Angeles,29.7604,-95.3698,Houston,2206.26,0.63,12.2,0.06,24.2,clear,Large Truck,5000,TRUE,2,2,18,4063.2
DEL000091,3/28/2023 15:00,41.8781,-87.6298,Chicago,40.7128,-74.006,New York,1144.29,0.39,14.4,0.04,26.6,clear,Large Truck,5000,FALSE,0,1,15,1958.4
DEL000092,11/19/2023 8:00,40.7128,-74.006,New York,39.9526,-75.1652,Philadelphia,129.61,0.83,5.7,0.02,29.7,clear,Medium Truck,3000,FALSE,4,6,8,338.21
DEL000093,4/20/2023 19:00,40.7128,-74.006,New York,29.7604,-95.3698,Houston,2281.34,0.57,17.9,0.07,25.8,clear,Sprinter,1500,FALSE,5,3,19,4702.22
DEL000094,1/19/2023 18:00,41.8781,-87.6298,Chicago,29.7604,-95.3698,Houston,1515.81,0.85,8.9,0.07,11.8,cloudy,Sprinter,1500,FALSE,2,3,18,3910.93
DEL000095,8/29/2023 9:00,34.0522,-118.2437,Los Angeles,39.9526,-75.1652,Philadelphia,3843.45,1.1,28.4,0.15,23.7,cloudy,Small Van,1000,FALSE,3,1,9,10796.68
DEL000096,5/20/2023 12:00,29.7604,-95.3698,Houston,40.7128,-74.006,New York,2281.34,0.59,12.5,0.08,28.7,clear,Large Truck,5000,TRUE,0,5,12,4141.12
DEL000097,2/5/2023 10:00,39.9526,-75.1652,Philadelphia,41.8781,-87.6298,Chicago,1068,0.54,6.4,0.28,24.6,cloudy,Large Truck,5000,FALSE,4,6,10,2448.93
DEL000098,8/22/2023 14:00,41.8781,-87.6298,Chicago,34.0522,-118.2437,Los Angeles,2803.97,0.6,21.2,0.09,27.1,clear,Large Truck,5000,FALSE,1,1,14,5230.72
DEL000099,11/14/2023 12:00,41.8781,-87.6298,Chicago,40.7128,-74.006,New York,1144.29,0.48,5,0.03,27.3,clear,Medium Truck,3000,FALSE,4,1,12,2006.47
DEL000100,9/17/2023 16:00,39.9526,-75.1652,Philadelphia,34.0522,-118.2437,Los Angeles,3843.45,0.97,14.6,0.04,6.8,clear,Large Truck,5000,FALSE,3,6,16,9369.35
DEL000101,6/17/2023 8:00,39.9526,-75.1652,Philadelphia,40.7128,-74.006,New York,129.61,0.5,28.8,0.91,1.9,snow,Small Van,1000,FALSE,5,5,8,566.29
DEL000102,12/7/2023 18:00,29.7604,-95.3698,Houston,41.8781,-87.6298,Chicago,1515.81,0.92,4.6,1.86,10.8,rain,Medium Truck,3000,FALSE,4,3,18,4312.81
DEL000103,4/24/2023 20:00,40.7128,-74.006,New York,39.9526,-75.1652,Philadelphia,129.61,0.3,11.6,0.16,4.4,cloudy,Large Truck,5000,FALSE,5,0,20,290.51
DEL000104,12/8/2023 18:00,40.7128,-74.006,New York,41.8781,-87.6298,Chicago,1144.29,0.38,9,0.05,9.4,clear,Small Van,1000,FALSE,1,4,18,2075.41
DEL000105,2/21/2023 10:00,39.9526,-75.1652,Philadelphia,34.0522,-118.2437,Los Angeles,3843.45,0.68,9.7,0.1,1,clear,Large Truck,5000,TRUE,0,1,10,6966.53
DEL000106,12/1/2023 20:00,40.7128,-74.006,New York,29.7604,-95.3698,Houston,2281.34,0.75,4.1,0.1,24.6,clear,Sprinter,1500,FALSE,5,4,20,5111.29
DEL000107,3/19/2023 15:00,39.9526,-75.1652,Philadelphia,34.0522,-118.2437,Los Angeles,3843.45,0.41,19.5,0.04,10.5,clear,Small Van,1000,FALSE,4,6,15,6223.68
DEL000108,12/25/2023 6:00,40.7128,-74.006,New York,41.8781,-87.6298,Chicago,1144.29,0.27,3.1,0.05,18.2,clear,Large Truck,5000,FALSE,3,0,6,1815.76
DEL000109,4/4/2023 7:00,41.8781,-87.6298,Chicago,40.7128,-74.006,New York,1144.29,0.37,18.9,0.19,26.8,cloudy,Medium Truck,3000,FALSE,2,1,7,2223.55
DEL000110,2/4/2023 19:00,29.7604,-95.3698,Houston,39.9526,-75.1652,Philadelphia,2156.27,0.34,7.7,0.15,9.3,cloudy,Large Truck,5000,FALSE,4,5,19,3549.54
DEL000111,6/29/2023 11:00,34.0522,-118.2437,Los Angeles,39.9526,-75.1652,Philadelphia,3843.45,0.71,22.6,0.17,16.6,cloudy,Small Van,1000,FALSE,3,3,11,8892.68
DEL000112,10/6/2023 20:00,29.7604,-95.3698,Houston,41.8781,-87.6298,Chicago,1515.81,0.69,10.4,2,25.6,rain,Small Van,1000,TRUE,1,4,20,3887.61
DEL000113,3/7/2023 20:00,29.7604,-95.3698,Houston,39.9526,-75.1652,Philadelphia,2156.27,0.34,14.7,0.04,23.6,cloudy,Medium Truck,3000,FALSE,2,1,20,3799.15
DEL000114,3/23/2023 20:00,41.8781,-87.6298,Chicago,34.0522,-118.2437,Los Angeles,2803.97,0.36,18.2,0.08,20.7,clear,Large Truck,5000,FALSE,3,3,20,4324.75
DEL000115,3/20/2023 19:00,34.0522,-118.2437,Los Angeles,40.7128,-74.006,New York,3935.75,0.32,19.8,0.71,16.1,rain,Large Truck,5000,FALSE,4,0,19,7625.54
DEL000116,12/28/2023 11:00,40.7128,-74.006,New York,41.8781,-87.6298,Chicago,1144.29,0.63,7.6,1.91,14.4,rain,Medium Truck,3000,TRUE,5,3,11,2975.09
DEL000117,8/19/2023 14:00,29.7604,-95.3698,Houston,39.9526,-75.1652,Philadelphia,2156.27,0.79,28.1,0.02,20.9,cloudy,Medium Truck,3000,FALSE,5,5,14,4740.85
DEL000118,2/25/2023 7:00,41.8781,-87.6298,Chicago,40.7128,-74.006,New York,1144.29,0.94,2.4,0.01,14.1,clear,Large Truck,5000,FALSE,5,5,7,2823.49
DEL000119,5/15/2023 15:00,41.8781,-87.6298,Chicago,39.9526,-75.1652,Philadelphia,1068,0.27,12.5,0,1.5,clear,Sprinter,1500,FALSE,3,0,15,1555.27
DEL000120,7/9/2023 11:00,34.0522,-118.2437,Los Angeles,41.8781,-87.6298,Chicago,2803.97,0.74,22,0.09,19.2,clear,Medium Truck,3000,FALSE,1,6,11,5744.05
DEL000121,7/21/2023 12:00,34.0522,-118.2437,Los Angeles,40.7128,-74.006,New York,3935.75,0.26,24,0.07,30,clear,Medium Truck,3000,FALSE,1,4,12,6350.61
DEL000122,9/21/2023 13:00,34.0522,-118.2437,Los Angeles,40.7128,-74.006,New York,3935.75,0.31,14.8,0.08,6.9,clear,Small Van,1000,FALSE,3,3,13,6248.06
DEL000123,7/11/2023 6:00,40.7128,-74.006,New York,41.8781,-87.6298,Chicago,1144.29,0.32,27.7,0.04,17.1,clear,Sprinter,1500,FALSE,0,1,6,1904.52
DEL000124,7/7/2023 12:00,29.7604,-95.3698,Houston,39.9526,-75.1652,Philadelphia,2156.27,0.45,25.1,0.07,16.6,clear,Small Van,1000,FALSE,3,4,12,3538.07
DEL000125,11/15/2023 7:00,39.9526,-75.1652,Philadelphia,40.7128,-74.006,New York,129.61,0.75,8.8,0.07,2.4,cloudy,Small Van,1000,TRUE,3,2,7,354.78
DEL000126,12/4/2023 20:00,41.8781,-87.6298,Chicago,39.9526,-75.1652,Philadelphia,1068,0.25,6.8,0.24,8.5,cloudy,Sprinter,1500,FALSE,1,0,20,1689.7
DEL000127,4/9/2023 8:00,39.9526,-75.1652,Philadelphia,40.7128,-74.006,New York,129.61,1.14,13.3,0,14.1,cloudy,Medium Truck,3000,FALSE,1,6,8,422.04
DEL000128,2/9/2023 9:00,29.7604,-95.3698,Houston,34.0522,-118.2437,Los Angeles,2206.26,0.89,2.4,0.58,20.1,snow,Small Van,1000,TRUE,0,3,9,8226.68
DEL000129,11/28/2023 17:00,29.7604,-95.3698,Houston,39.9526,-75.1652,Philadelphia,2156.27,0.61,9,0.06,27.2,clear,Small Van,1000,FALSE,2,1,17,4539.59
DEL000130,9/23/2023 12:00,41.8781,-87.6298,Chicago,39.9526,-75.1652,Philadelphia,1068,0.61,8.4,0.12,15.8,cloudy,Medium Truck,3000,FALSE,4,5,12,2257.13
DEL000131,3/14/2023 19:00,41.8781,-87.6298,Chicago,29.7604,-95.3698,Houston,1515.81,0.32,16.1,0.02,6.8,clear,Medium Truck,3000,FALSE,0,1,19,2390.13
DEL000132,9/16/2023 13:00,34.0522,-118.2437,Los Angeles,39.9526,-75.1652,Philadelphia,3843.45,0.36,14.7,0.06,21.1,clear,Large Truck,5000,FALSE,2,5,13,6082.03
DEL000133,2/5/2023 14:00,39.9526,-75.1652,Philadelphia,41.8781,-87.6298,Chicago,1068,0.68,5.4,0.04,0.4,clear,Large Truck,5000,FALSE,4,6,14,2168.21
DEL000134,6/17/2023 7:00,34.0522,-118.2437,Los Angeles,40.7128,-74.006,New York,3935.75,0.55,21.8,0.05,1.5,clear,Large Truck,5000,FALSE,1,5,7,7016.38
DEL000135,2/8/2023 16:00,34.0522,-118.2437,Los Angeles,41.8781,-87.6298,Chicago,2803.97,0.47,6.3,0.13,3.7,cloudy,Large Truck,5000,FALSE,4,2,16,5569.74
DEL000136,12/12/2023 20:00,34.0522,-118.2437,Los Angeles,29.7604,-95.3698,Houston,2206.26,0.34,2,0.02,4.3,clear,Sprinter,1500,FALSE,4,1,20,3667.11
DEL000137,10/10/2023 10:00,39.9526,-75.1652,Philadelphia,29.7604,-95.3698,Houston,2156.27,0.35,9.2,0.05,4.9,clear,Medium Truck,3000,TRUE,1,1,10,3755.55
DEL000138,12/15/2023 7:00,40.7128,-74.006,New York,29.7604,-95.3698,Houston,2281.34,0.46,0.1,0.03,23.9,clear,Small Van,1000,TRUE,4,4,7,4487.92
DEL000139,5/24/2023 6:00,41.8781,-87.6298,Chicago,29.7604,-95.3698,Houston,1515.81,0.72,14,1.26,6.8,rain,Sprinter,1500,FALSE,5,2,6,4586.55
DEL000140,5/24/2023 11:00,39.9526,-75.1652,Philadelphia,29.7604,-95.3698,Houston,2156.27,0.32,17.3,0.22,4.5,cloudy,Large Truck,5000,FALSE,0,2,11,3783.58
DEL000141,6/14/2023 18:00,34.0522,-118.2437,Los Angeles,39.9526,-75.1652,Philadelphia,3843.45,0.45,27,0.02,16.6,clear,Small Van,1000,FALSE,1,2,18,7282.82
